WMO Index,Year,January,February,March,April,May,June,July,August,September,October,November,December
29866,1996,100.02,100.15,99.64,98.91,98.61,98.05,97.77,98.1,98.4,99.01,99.9,99.36
29866,1997,99.22,99.38,99.16,98.99,98.5,97.93,97.82,97.89,99.06,99.32,99.5,99.36
29866,1998,100.15,99.17,99.64,98.43,98.52,98.05,97.78,98.13,98.49,98.92,99.4,99.44
29866,1999,99.65,99.92,99.3,98.69,98.68,97.93,97.79,98.05,98.65,99.17,99.59,99.68
29866,2000,100.01,99.55,99.26,98.7,98.16,97.95,97.93,97.96,98.6,99.28,99.66,99.27
29866,2001,99.64,99.6,99.14,98.81,98.34,97.72,97.78,98.1,98.71,99.03,99.54,100.34
29866,2002,99.19,99.39,98.68,98.97,98.49,97.8,98.0,98.01,98.83,99.33,99.21,99.93
29866,2003,99.56,99.41,99.43,98.96,98.59,98.04,97.79,98.34,98.71,99.38,99.51,99.8
29866,2004,99.97,99.28,99.2,98.66,98.46,98.23,97.85,98.11,98.7,99.1,99.34,99.8
29866,2005,100.0,100.25,99.47,98.78,98.47,97.76,97.73,97.99,98.7,99.12,99.34,100.62
29866,2006,99.78,99.85,99.24,98.74,98.61,98.01,97.77,98.04,98.75,98.89,99.53,99.36
29866,2007,99.87,98.87,99.31,99.0,98.06,97.81,97.62,98.18,98.57,99.46,99.48,99.57
29866,2008,100.45,99.86,99.06,98.54,98.45,97.77,97.65,97.97,98.53,99.14,99.2,99.85
29866,2009,99.88,99.46,99.32,98.75,98.27,98.0,97.65,98.14,98.74,99.08,99.64,99.44
29866,2010,100.24,99.74,99.29,99.23,98.39,98.04,97.87,98.34,98.78,99.19,98.8,99.61
29866,2011,100.92,99.38,99.8,98.73,98.45,97.69,97.9,97.94,98.88,99.02,99.33,100.25
29866,2012,100.37,100.34,99.32,98.72,98.5,97.73,97.75,97.96,98.57,99.06,99.04,100.13
29866,2013,99.4,99.62,98.83,98.8,98.19,97.89,97.54,97.87,98.63,99.08,99.35,99.51
29866,2014,99.41,99.92,99.1,98.76,98.41,98.19,97.67,98.21,98.59,98.83,99.2,99.97
29866,2015,99.36,99.42,99.19,98.77,98.36,98.15,97.67,98.12,98.7,98.94,99.5,99.15
29866,2016,100.78,100.11,99.24,98.58,98.47,98.06,97.58,98.5,98.71,99.46,99.53,99.29
29866,2017,99.65,99.7,99.59,98.78,98.46,97.97,97.72,98.33,98.48,99.36,99.5,100.13
29866,2018,100.56,100.07,98.75,98.87,98.11,97.89,97.76,98.0,98.92,99.16,99.25,100.38
29866,2019,99.87,99.83,99.23,98.68,98.74,97.93,97.78,98.11,98.57,99.1,99.68,99.5
29866,2020,99.32,99.47,99.17,99.1,98.57,97.94,97.78,97.9,98.7,99.21,99.77,100.07
29866,2021,100.1,99.24,98.87,99.32,98.45,98.03,97.75,98.18,98.55,99.37,99.25,99.67
29866,2022,99.75,100.0,98.96,99.02,98.43,97.74,97.73,98.28,98.61,99.5,99.38,100.38
29866,2023,99.65,99.8,98.98,98.95,98.76,98.07,97.88,97.92,98.58,98.96,99.61,99.86
