Year,Month,Precipitation,Relative Humidity,Temperature,Water-Vapour Pressure
1963,1,,,-19.0,1.1
1963,2,,,-17.6,1.2
1963,3,,,-6.4,2.3
1963,4,,,-7.0,1.8
1963,5,,,5.0,3.9
1963,6,,,10.9,6.4
1963,7,,,13.3,8.5
1963,8,,,12.2,7.8
1963,9,,,4.0,5.0
1963,10,,,-4.2,2.9
1963,11,,,-10.6,2.0
1963,12,,,-17.0,1.1
1964,1,,,-20.3,0.8
1964,2,,,-25.9,0.5
1964,3,,,-10.4,1.7
1964,4,,,-2.4,2.8
1964,5,,,5.4,4.3
1964,6,,,13.6,6.8
1964,7,,,13.6,10.2
1964,8,,,12.2,8.8
1964,9,,,5.3,4.8
1964,10,,,-6.4,2.4
1964,11,,,-9.8,1.8
1964,12,,,-12.6,1.6
1965,1,,,-17.3,1.1
1965,2,,,-16.4,1.0
1965,3,,,-9.1,1.6
1965,4,,,-2.9,2.4
1965,5,,,8.3,4.8
1965,6,,,12.6,7.0
1965,7,,,13.9,8.8
1965,8,,,10.6,7.8
1965,9,,,5.8,4.9
1965,10,,,-2.3,3.0
1965,11,,,-11.8,1.6
1965,12,,,-19.3,1.0
1966,1,15.7,63.0,-18.5,1.0
1966,2,13.6,56.0,-14.3,1.3
1966,3,4.6,56.0,-8.8,1.9
1966,4,8.7,52.0,-3.4,2.6
1966,5,10.6,49.0,4.5,4.1
