Year,Month,Day,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Precip. Amount (mm)
1963,11,18,-29.704166666666666,-33.083333333333336,72.125,32.1,5.166666666666667,17.474999999999998,102.39,,-34.55,
1963,11,19,-30.6625,-34.75833333333333,67.95833333333333,19.875,3.9583333333333335,31.625,101.95875,,-36.5625,
1963,11,20,-22.141666666666666,-24.78333333333333,79.625,29.70833333333333,15.875,9.954166666666666,101.37708333333336,,-30.916666666666668,
1963,11,21,-27.79583333333333,-30.47083333333333,78.29166666666667,31.41176470588235,6.25,12.1875,102.00208333333336,,-34.588235294117645,
1963,11,22,-32.9125,-36.11739130434783,71.26086956521739,30.53846153846154,4.416666666666667,15.270833333333336,102.1375,,-39.07692307692308,
1963,11,23,-40.30416666666667,-37.76666666666666,68.66666666666667,23.0,5.708333333333333,20.96666666666667,101.95458333333332,,-48.095238095238095,
1963,11,24,-43.633333333333326,,,15.090909090909092,2.125,24.100000000000005,102.24875000000002,,-50.90909090909091,
1963,11,25,-39.3,-39.04285714285714,70.71428571428571,26.05555555555556,5.25,23.166666666666668,100.60416666666669,,-47.44444444444444,
1963,11,26,-42.79583333333333,,,18.5,0.375,22.03333333333333,100.51333333333332,,-49.5,
1963,11,27,-40.57083333333333,-38.72857142857142,71.0,11.866666666666667,2.75,42.57083333333333,100.80291666666665,,-46.46666666666667,
1963,11,28,-36.91666666666666,-39.75625,67.0625,29.2,1.9583333333333333,64.4,100.65958333333332,,-41.8,
1963,11,29,-37.641666666666666,-41.025000000000006,61.5,15.571428571428571,1.2916666666666667,64.4,101.00333333333332,,-43.0,
1963,11,30,-37.2875,-38.8375,71.0,30.5,1.1666666666666667,24.4,100.94874999999998,,-44.16666666666666,
1963,12,1,-26.616666666666664,-28.55909090909091,75.86363636363636,9.272727272727272,6.333333333333333,21.541666666666668,100.33041666666666,,-33.40909090909091,
1963,12,2,-19.754166666666663,-22.229166666666668,80.66666666666667,18.8,4.666666666666667,22.3,99.69375,,-24.75,
1963,12,3,-11.720833333333331,-13.716666666666669,85.25,12.363636363636363,7.75,24.137500000000003,98.79041666666669,,-16.454545454545453,
1963,12,4,-13.216666666666669,-15.966666666666669,80.29166666666667,32.26086956521739,12.666666666666666,17.95,98.89208333333332,,-20.30434782608696,
1963,12,5,-15.970833333333331,-18.429166666666664,81.5,31.95,11.958333333333334,5.141666666666667,100.3,,-22.5,
1963,12,6,-21.125,-23.55,80.20833333333333,18.133333333333333,3.125,17.958333333333332,100.98166666666668,,-24.6,
1963,12,7,-17.541666666666668,-20.491666666666664,78.08333333333333,13.478260869565217,6.125,24.475000000000005,101.35083333333334,,-22.26086956521739,
1963,12,8,-10.254166666666666,-13.475,77.70833333333333,13.5,12.666666666666666,24.100000000000005,101.1975,,-16.125,
1963,12,9,-3.6125,-8.066666666666666,71.29166666666667,17.458333333333332,13.541666666666666,24.3625,99.63125,,-8.25,
