Year,January,February,March,April,May,June,July,August,September,October,November,December
2001,-26.7,-21.6,-6.4,5.0,14.5,19.7,,18.5,9.5,0.9,-10.0,-24.8
2002,-22.4,-17.3,-7.3,3.6,13.8,19.3,20.0,18.1,10.4,-0.1,-11.1,-28.5
2003,-26.0,-21.2,-11.2,2.7,12.4,19.1,19.0,15.2,10.2,0.3,-15.2,-25.3
2004,-26.9,-16.4,-7.9,5.5,13.5,18.1,19.1,16.2,10.1,0.9,-13.8,-22.1
2005,-30.3,-29.1,-10.8,5.4,11.2,17.9,20.7,16.9,9.8,2.8,-9.9,-27.4
2006,-27.4,-20.6,-7.5,2.5,10.1,18.6,18.5,14.9,9.4,1.4,-9.3,-20.6
2007,-22.9,-16.0,-7.4,8.0,13.7,17.6,22.3,17.7,12.3,0.3,-13.2,-23.4
2008,-31.6,-24.3,-6.1,6.8,12.9,19.1,20.7,17.9,9.6,2.3,-8.0,-18.9
2009,-25.3,-20.4,-7.2,7.4,13.2,15.2,19.0,16.5,9.6,2.4,-13.4,-25.2
2010,-30.9,-27.6,-14.9,2.0,9.8,18.1,18.5,15.1,10.0,2.1,-7.9,-20.7
2011,-32.1,-19.5,-9.6,7.6,11.7,19.6,18.5,17.8,9.7,2.8,-16.2,-25.3
2012,-29.2,-25.0,-10.2,6.2,12.1,21.0,20.8,16.6,11.4,1.7,-14.9,-28.1
2013,-28.1,-21.7,-4.8,6.9,10.8,17.3,19.8,18.0,8.5,-0.4,-6.9,-19.6
2014,-23.5,-24.5,-8.1,7.3,10.6,17.3,20.3,18.6,9.7,2.0,-11.0,-26.5
2015,-25.6,-23.4,-9.1,6.9,12.9,19.7,21.9,19.1,9.7,2.3,-15.8,-21.6
2016,-30.9,-22.3,-7.3,7.5,11.0,18.6,21.1,15.8,12.7,-2.2,-19.1,
