Индекс ВМО,Year,January,February,March,April,May,June,July,August,September,October,November,December
20891,2010,-28.9,-35.0,-24.2,-13.6,-1.4,8.3,12.6,9.7,1.2,-11.0,-21.2,-32.2
20891,2011,-26.0,-32.8,-17.1,-10.5,-1.8,8.2,13.0,11.0,4.2,-9.0,-21.9,-23.7
20891,2012,-29.1,-23.9,-24.2,-14.7,-4.0,9.6,15.3,10.1,5.0,-13.2,-21.8,-27.7
20891,2013,-32.9,-36.0,-30.9,-15.1,0.0,7.7,14.7,10.0,1.3,-10.6,-20.0,-29.6
20891,2014,-38.5,-32.7,-19.5,-10.1,-3.2,9.5,14.0,7.4,2.1,-12.8,-27.8,-24.6
20891,2015,-33.5,-33.0,-22.5,-16.2,-4.7,8.2,12.6,8.3,2.8,-8.5,-19.6,-28.7
20891,2016,-21.4,-29.2,-21.6,-13.6,-5.2,9.2,12.9,9.0,5.8,-8.3,-25.0,-37.0
20891,2017,-27.8,-31.5,-15.2,-14.2,-6.5,7.8,11.8,7.9,1.2,-9.9,-26.0,-27.9
20891,2018,-29.8,-28.2,-30.2,-14.6,-5.5,14.0,9.5,12.2,3.3,-4.2,-24.9,-23.8
20891,2019,-31.8,-24.9,-18.2,-15.5,-5.9,11.2,12.5,15.0,3.7,-7.9,-22.6,-32.8
