Year,January,February,March,April,May,June,July,August,September,October,November,December
1956,-12.0,-13.8,-5.9,-1.7,5.4,9.1,12.3,9.3,6.5,1.1,-7.1,-7.2
1957,-7.6,-9.1,-6.1,-1.0,3.7,8.1,13.2,10.4,5.9,2.1,-3.8,-8.5
1958,-12.5,-14.5,-11.4,-1.6,3.7,9.8,11.6,11.5,8.4,4.2,-1.6,-10.4
1959,-13.9,-7.0,-2.7,1.2,5.4,10.6,13.2,12.4,6.9,2.0,-2.0,-6.8
1960,-12.7,-11.5,-4.1,0.2,6.0,11.2,12.6,11.4,7.5,-1.6,-4.6,-8.8
1961,-11.2,-6.1,-2.9,-0.3,5.2,11.1,12.0,10.1,8.7,6.0,-2.0,-10.3
1962,-9.0,-7.9,-9.6,-0.5,4.0,8.5,10.6,9.6,6.7,2.9,-5.6,-10.1
1963,-13.1,-14.6,-7.7,0.1,7.8,11.4,11.4,12.6,7.8,3.0,-5.2,-8.0
1964,-6.9,-9.2,-4.5,1.0,6.5,9.3,11.3,10.0,5.7,2.2,-4.1,-7.8
1965,-10.4,-8.3,-6.3,0.8,4.3,10.7,10.4,9.8,8.8,2.6,-8.0,-14.1
1966,-15.4,-17.2,-6.4,-3.2,5.0,13.1,12.1,10.4,6.2,1.3,-5.0,-7.9
1967,-13.2,-7.4,-2.7,-0.8,5.5,9.6,12.0,11.0,8.2,2.4,-1.4,-11.2
1968,-12.6,-10.1,-5.2,0.3,3.9,11.6,11.9,10.9,8.0,0.3,-9.6,-9.0
1969,-9.3,-12.9,-9.1,0.3,5.7,13.0,12.6,14.1,6.4,2.4,-7.5,-11.1
1970,-14.4,-16.0,-6.2,-2.3,6.6,13.4,11.8,11.8,6.6,2.4,-6.6,-7.0
1971,-8.6,-7.0,-7.3,-0.6,7.0,10.0,12.3,11.0,6.5,1.9,-6.1,-5.0
1972,-12.3,-8.3,-3.9,0.0,6.5,12.2,14.2,10.9,5.4,1.5,-4.2,-4.0
1973,-5.3,-7.9,-1.8,-1.5,5.4,11.2,13.9,10.2,5.8,-0.8,-7.2,-8.9
1974,-6.0,-6.3,-4.5,0.6,6.2,11.1,11.1,10.6,8.3,-0.4,-5.3,-6.0
1975,-6.7,-6.7,-4.5,-0.8,5.1,9.1,12.2,12.2,7.1,1.9,-3.7,-6.1
1976,-11.5,-8.3,-7.7,-1.5,6.8,10.0,12.2,10.7,3.4,1.4,-4.5,-12.4
1977,-13.2,-13.3,-4.8,-3.0,4.5,9.4,11.1,10.7,5.3,3.0,-4.8,-6.9
1978,-9.6,-13.1,-6.1,-1.5,5.9,11.6,12.5,10.6,5.5,1.4,-3.6,-15.2
1979,-14.9,-11.8,-5.0,-0.4,4.8,11.7,10.9,10.7,6.3,0.0999999,-5.2,-10.3
1980,-13.5,-11.6,-6.7,0.1,5.2,12.9,14.1,12.0,7.8,-0.4,-8.2,-9.6
1981,-11.0,-9.7,-7.7,-1.4,8.0,8.8,11.7,9.9,8.2,1.3,-5.9,-16.0
1982,-14.4,-8.8,-3.1,-0.3,5.2,9.0,13.1,11.9,7.4,2.6,-3.4,-7.0
1983,-7.0,-9.5,-4.9,0.5,7.1,9.6,12.6,10.1,7.7,2.3,-4.8,-7.8
1984,-12.2,-7.0,-6.9,0.8,7.8,10.1,11.4,11.0,6.1,3.3,-2.5,-6.0
1985,-14.8,-15.4,-5.7,-2.3,5.5,10.6,12.9,11.5,5.4,3.4,-7.5,-11.8
1986,-15.1,-13.1,-3.6,-2.1,6.9,11.9,11.9,9.6,4.4,2.2,-2.1,-9.9
1987,-17.9,-10.1,-8.9,0.2,4.0,8.9,11.9,8.9,6.2,4.4,-4.9,-7.2
1988,-6.9,-7.5,-7.0,-2.4,7.1,11.9,14.1,11.5,8.4,1.3,-6.2,-7.8
1989,-4.4,-4.1,-2.0,1.3,5.4,11.2,11.5,10.5,7.0,2.2,-3.8,-8.6
1990,-7.1,-2.6,-2.5,1.2,5.6,11.8,12.0,11.6,6.5,2.4,-4.6,-6.2
1991,-8.1,-9.7,-3.0,0.8,3.8,8.4,13.7,12.0,6.7,1.2,-3.0,-5.9
1992,-5.9,-6.1,-2.8,-1.2,7.6,13.5,11.6,10.7,7.7,-2.4,-5.0,-6.3
1993,-6.8,-7.1,-5.0,1.2,7.1,8.0,11.8,9.4,4.9,0.0999999,-6.4,-9.7
1994,-10.8,-14.2,-5.1,1.0,4.9,8.7,15.1,12.3,6.7,0.2,-3.8,-5.2
1995,-8.8,-6.1,-3.8,-1.4,4.7,10.1,11.6,11.0,7.7,4.1,-6.9,-11.3
1996,-10.7,-11.7,-5.3,-0.1,4.0,9.6,11.2,14.4,5.6,3.2,-6.5,-10.3
1997,-8.1,-6.6,-4.0,-1.6,4.3,11.9,15.4,15.0,8.0,0.3,-5.3,-8.3
1998,-7.8,-5.4,-5.0,-0.3,5.0,10.1,12.1,10.0,8.6,0.9,-7.2,-8.0
1999,-9.6,-8.0,-4.4,1.4,4.9,11.1,12.5,10.5,11.1,2.4,-0.6,-10.5
2000,-6.0,-5.8,-4.2,2.5,8.1,9.0,11.4,10.3,8.2,5.7,-0.9,-7.7
2001,-7.8,-12.0,-8.2,-0.6,5.7,10.2,13.0,11.4,7.6,4.1,-3.3,-9.1
2002,-8.5,-5.1,-3.6,2.3,8.4,12.9,13.7,16.2,8.6,-1.2,-7.7,-11.3
2003,-10.9,-8.3,-2.4,0.7,5.9,11.4,15.6,12.0,7.9,-0.3,-3.3,-6.8
2004,-10.8,-7.4,-3.1,3.2,6.5,9.7,12.3,13.4,8.1,2.4,-5.2,-6.2
2005,-5.7,-8.2,-6.3,1.7,4.7,10.1,14.6,11.3,8.5,3.5,-1.8,-8.2
2006,-8.5,-8.5,-9.7,0.4,6.6,11.3,14.8,14.6,10.3,3.6,-5.1,-9.0
