29866;1950;19;98;125;134;;;;;135;;;
29866;1951;;;;;;;269;182;204;102;42;28
29866;1952;59;102;174;157;219;251;225;231;156;73;54;36
29866;1953;46;108;120;240;233;315;248;227;190;98;59;14
29866;1954;55;86;145;191;185;200;217;248;162;90;40;49
29866;1955;72;81;157;221;229;296;259;279;129;150;89;51
29866;1956;55;120;203;155;229;211;262;237;155;79;76;38
29866;1957;42;;192;132;183;263;253;190;196;95;44;20
29866;1958;59;81;129;113;236;154;271;212;141;78;42;50
29866;1959;67;117;142;154;159;249;248;217;235;65;41;11
29866;1960;38;75;145;120;220;237;228;227;161;118;31;24
29866;1961;40;43;173;150;222;198;238;230;173;76;39;40
29866;1962;76;120;174;172;229;218;258;265;178;112;62;34
29866;1963;61;64;114;167;189;187;224;201;173;93;57;37
29866;1964;56;73;124;171;247;270;274;228;187;116;38;19
29866;1965;15;66;211;198;187;203;210;200;131;118;59;43
29866;1966;47;59;118;;137;247;308;274;229;85;45;45
29866;1967;95;110;186;180;210;172;237;;158;118;82;61
29866;1968;84;121;125;198;246;247;264;246;121;155;25;21
29866;1969;59;93;172;142;161;236;278;179;114;113;54;17
29866;1970;52;69;178;133;175;241;195;226;144;64;84;23
29866;1991;53;109;167;229;274;263;287;259;194;106;42;28
29866;1992;39;89;186;163;266;319;312;221;90;168;48;34
29866;1993;41;123;213;261;213;266;330;256;163;135;58;33
29866;1994;61;126;199;156;235;345;285;194;129;123;67;38
29866;1995;73;98;170;211;240;218;317;241;173;117;69;55
29866;1996;76;159;230;218;286;258;282;255;104;116;61;53
29866;1997;40;72;200;262;290;253;250;210;258;151;71;47
29866;1998;98;127;253;174;239;296;333;313;183;95;51;26
29866;1999;50;113;215;186;298;305;330;237;203;114;80;47
29866;2000;66;100;177;227;242;260;290;249;220;128;55;37
29866;2001;56;99;130;220;285;298;285;307;173;122;69;43
29866;2002;70;129;123;241;338;281;239;254;153;153;44;55
29866;2003;77;121;204;215;277;313;270;252;185;107;60;51
29866;2004;83;90;178;146;253;278;316;297;192;111;116;38
29866;2005;54;124;197;171;279;276;319;257;176;110;34;49
29866;2006;52;86;153;174;231;348;219;232;187;87;50;35
29866;2007;73;83;193;240;193;266;301;244;209;120;70;43
29866;2008;85;109;166;201;303;289;280;232;169;130;54;56
29866;2009;66;119;196;210;265;283;273;219;171;101;77;50
29866;2010;99;130;143;175;228;328;316;251;219;108;72;56
29866;2011;85;107;231;261;303;314;256;266;248;167;99;35
29866;2012;62;145;217;193;267;384;278;213;226;117;49;50
29866;2013;54;83;169;216;192;261;289;223;179;119;62;37
29866;2014;47;105;173;228;201;282;285;281;199;77;58;64
29866;2015;71;125;156;203;295;341;339;291;163;106;76;30
29866;2016;78;91;167;199;286;311;290;207;212;83;53;57
29866;2017;73;88;247;210;238;367;252;223;107;107;68;41
29866;2018;86;86;134;209;174;363;221;294;159;141;54;63
29866;2019;60;150;193;210;260;247;197;237;178;136;47;33
29866;2020;60;104;143;256;301;207;266;246;198;72;54;45
