Year,January,February,March,April,May,June,July,August,September,October,November,December
1991,1.3,1.8,1.5,4.4,6.4,10.8,11.8,9.3,8.1,5.9,3.3,1.3
1992,1.3,2.1,3.0,1.4,5.8,6.9,11.0,10.7,8.8,2.8,1.6,2.8
1993,2.0,2.0,2.8,3.4,4.5,10.3,12.2,10.9,7.3,4.1,2.4,1.9
1994,1.5,0.7,2.7,3.9,3.9,8.6,10.2,9.8,,5.1,1.6,2.3
1995,2.6,3.0,3.0,5.2,6.1,7.4,12.0,11.6,8.0,4.6,2.3,1.6
1996,2.1,1.7,2.7,2.5,5.0,8.5,12.0,8.8,5.2,5.2,4.2,2.1
1997,0.9,1.3,2.3,4.1,5.4,7.6,,9.4,7.8,5.2,2.3,1.1
1998,1.4,0.4,2.4,1.9,4.8,8.6,15.0,10.3,6.1,3.3,1.2,1.4
1999,0.9,1.5,1.6,2.2,3.3,7.4,10.8,10.1,7.4,5.9,1.9,2.8
2000,1.1,2.3,2.9,4.4,5.6,9.1,11.2,11.1,7.9,6.0,3.2,1.5
2001,1.6,0.8,1.6,3.9,5.8,8.2,10.6,11.4,8.1,4.0,1.9,1.6
2002,0.8,1.9,2.2,3.8,5.2,7.5,12.1,9.7,6.2,4.8,2.2,1.4
2003,1.0,1.4,2.0,3.2,5.7,9.1,11.4,14.3,8.3,6.1,2.8,2.6
2004,2.0,1.9,1.8,2.2,5.1,9.3,13.5,9.9,7.5,5.0,3.4,1.9
2005,2.6,1.6,1.3,2.8,6.3,7.9,13.7,10.5,8.9,6.8,4.6,2.3
2006,0.8,1.2,1.9,2.4,5.2,10.1,11.8,9.8,7.9,4.1,1.8,2.5
2007,2.6,0.8,3.2,4.6,4.5,9.4,15.4,11.9,8.5,6.6,2.8,3.0
2008,2.6,1.9,2.2,2.9,4.5,8.3,14.0,10.2,8.3,6.3,3.4,3.1
2009,1.3,1.4,2.6,3.2,5.2,10.0,12.0,11.2,9.5,5.5,2.7,1.0
2010,1.1,0.7,2.1,4.2,6.1,9.4,12.2,10.5,7.2,6.6,3.3,1.5
2011,1.5,0.8,3.3,5.1,6.9,10.8,10.3,9.5,9.2,6.1,3.0,3.4
2012,1.9,1.5,1.4,4.5,7.0,13.1,13.7,10.9,9.1,6.1,3.1,1.4
2013,0.9,2.0,1.0,4.6,5.6,10.2,13.6,11.3,7.4,4.3,4.1,2.3
2014,0.7,1.1,3.1,3.8,6.1,10.2,10.3,10.7,8.0,3.7,3.1,2.4
2015,0.8,2.2,3.7,3.4,7.1,11.4,11.2,10.3,8.4,4.1,2.5,2.2
2016,1.2,3.3,2.4,,,,,,,,,
