Year,Month,Day,CAN,YAK,TAY,FIN,SWE,NOR,ALT,LOT,PAK
2000,12,16,0.0867985460733127,0.0555927266392538,0.0862491140536012,0.0539504364268584,0.0674943463580435,0.044930835377885,0.0825567294387302,0.2295658928748703,0.1064690904180607
2001,1,16,0.0799943988939317,0.0623662797743701,0.0648187033326749,0.0512683427980909,0.0593616676336069,0.0496032699791136,0.0984662504756948,0.1965424517404,0.1261991244084344
2001,2,15,0.0872423460794876,0.0658386944169015,0.0742241272354135,0.0625380966629226,0.0688025445682754,0.0877554893187456,0.0796213706377746,0.1691751723542921,0.1946119356431355
2001,3,16,0.0857662763175923,0.0306243805328332,0.0785743388634694,0.1276244003148778,0.1268009946556394,0.1708910119913073,0.1551296613217381,0.2021227323704232,0.2427449856947147
2001,4,16,0.1418855753071262,0.0499513036632995,0.1060496557423125,0.1647253800252188,0.1139937720868011,0.194167596256775,0.3062298789946609,0.1367215366885762,0.4360672644460133
2001,5,16,0.2697601377905131,0.2621827393411723,0.1734038309183585,0.3347167044215897,0.254107918365361,0.468044075466372,0.4424949137038604,0.3756184984673402,0.5325996817836381
2001,6,16,0.6708821152271813,0.3974420187235213,0.4145288740662106,0.5672453318910635,0.3566337310295828,0.4536080551291391,0.6526760931429754,0.3531049545765233,0.833568805833371
2001,7,16,0.6084819085149912,0.4863400883835762,0.480127924172691,0.4594592245907665,0.3008594573994619,0.4853447478706434,0.8231523273367833,0.3677730116826466,0.8807342108157884
2001,8,16,0.4591149599966696,0.3251080020610154,0.4802739954162216,0.380498207748347,0.334878853518839,0.4739959156333171,0.5982113673604944,0.3763893780358699,0.733313865188022
2001,9,16,0.3411136707055269,0.2037045775855354,0.1977268512211381,0.1976039489008319,0.2044394564284283,0.2710594849220341,0.4224949137038604,0.1730208452164043,0.637449787356442
2001,10,16,0.108818880187721,0.0337212187066453,0.0648715712031312,0.1553515199472659,0.1759418740344763,0.219213694060588,0.2726402144494476,0.2556184984673402,0.4347381494712059
2001,11,16,0.088874172923429,0.042917910244231,0.0212948850135291,0.1266006470941738,0.1342496073658187,0.2185482437257542,0.0625485269440087,0.1517399249041526,0.2217969508972699
2001,12,16,0.0808058292573793,0.0557558038984139,,0.0634742366851337,0.0802305593121391,0.123911994817208,0.0756633531098402,0.1820919189490007,0.1081087367861685
2002,1,16,0.0765009651680831,0.0538929666999573,0.0776572413308971,0.0495225808684429,0.0684645664563981,0.0908346373216461,0.0076144300640411,0.0920919189490007,0.0647051919628788
2002,2,15,0.0928089129303093,0.0590273591491315,0.047849847202297,0.0619672883313003,0.0751573351558094,0.0977342003804677,0.0213480684883502,0.1644902361657534,0.0995789069827329
2002,3,16,0.104316697689175,0.0430560776090226,0.0442543441744112,0.1116383957704462,0.1073100313069055,0.194523707357982,0.0617845051553397,0.1985018357296215,0.2317969508972699
2002,4,16,0.1536517012819436,0.0680931534302071,0.087660383910034,0.2343133213035185,0.1716602488640804,0.3552672071811933,0.2899216450288654,0.2442800233210192,0.3200052158055069
2002,5,16,0.3242256928706949,0.2311034547518487,0.2501755258160312,0.4485683338538378,0.3362428636430641,0.5506269189988401,0.5064696709246075,0.2299306671255222,0.6073021917200436
2002,6,16,0.6040505104812549,0.4205533957580296,0.4169270648501321,0.6621165248093308,0.4461878539240415,0.6265374688468279,0.6459843345159404,0.4911685554370796,0.7435688058333709
2002,7,16,0.5983333975141955,0.4121690352519331,0.4986620258610377,0.5663292035630648,0.3561736451773977,0.5577737298761118,0.8266656070543502,0.3929018187643794,0.7111402784314613
2002,8,16,0.3716334199232962,0.3005533957580296,0.3811718880106911,0.5107328911625538,0.4144487676536208,0.6489839717854438,0.6746251717314075,0.2348463670631108,0.7694724001266491
2002,9,16,0.3139453652422196,0.1985412698658614,0.2523104710937341,0.2750711923187905,0.2762888355199684,0.4484029398146776,0.4769703539948058,0.293659372820433,0.5322740141748123
2002,10,16,0.1298736147826192,0.0490830263082908,0.0427882241404241,0.1213422726387654,0.1639937720868011,0.2653236401306325,0.204828485591946,0.2991406279149411,0.426996604703429
2002,11,16,0.0647325803825657,0.0431792215270526,0.0710689734033969,0.1048371483765578,0.1074433073738191,0.1508910119913073,0.1125485269440087,0.2051191163702352,0.2435200051342107
2002,12,16,0.0980956526693539,0.0646160375326732,0.0830176383335532,0.0873938410027386,0.0975733564762331,0.1449916904607666,0.1094526610248846,0.1896674094787968,0.1593625789141432
2003,1,16,0.0948758815668339,0.0547573013527829,0.0749774839193049,0.1020724409068545,0.0889280451286468,0.1092969749210362,0.0611081303494903,0.1784231550725722,0.0412696624513256
2003,2,15,0.0708058292573792,0.0572956355914833,0.063198845670429,0.039062313990828,0.0717932717737539,0.1416234526782078,0.0796213706377746,0.1338811199120219,0.109113200246671
2003,3,16,0.0901226184221633,0.048440572038497,0.0456537777901936,0.1419728700013398,0.1362649210418874,0.2682465462397998,0.1201643051287502,0.2567215366885763,0.1891275773468455
2003,4,16,0.137172465125588,0.0686373979732583,0.0835109148244891,0.2168294185083482,0.1739937720868011,0.3555617110483769,0.2926124706467917,0.2747095716465227,0.3686248561009378
2003,5,16,0.2995741170941967,0.193967048278031,0.2295597313150154,0.3329834579714267,0.2376454153805615,0.396419498657204,0.4214427511918145,0.3264270956287111,0.4561003498505859
2003,6,16,0.6257086735061897,0.3152078203240253,0.5091569553149253,0.6121019682755288,0.4376773513160519,0.6749944578740688,0.6437270000264212,0.3803816412806297,0.6151776572110604
2003,7,16,0.6520535670245985,0.3937282179436056,0.5884426331862078,0.715115449253484,0.4552934512041803,0.6100347793440402,0.5797561635107449,0.5656447462864221,0.8394724001266491
2003,8,16,0.4524416591035654,0.2867142222832656,0.3859190983389948,0.3991898801897947,0.3425681705912855,0.5674048066525643,0.3942568217085758,0.5811062672993402,0.6626886118601536
2003,9,16,0.2749401177162076,0.1544623198828366,0.1421889227652255,0.2522394977820979,0.2679305379116079,0.4038074636313911,0.4324949137038604,0.4339097852755166,0.6182546180554352
