Stat,TAY,IND,CAN,GUT,ILO,INA
R^2,0.32343016640702765,0.15469698675160437,0.16589345825075671,0.05798306814647344,0.11894256521087708,0.4168486988047178
p-value,9.084669581001466e-11,3.315937959329949e-05,1.0052329177201003e-05,0.01427921045200458,0.0003855905407857215,2.36678485778859e-13
