Stat,TAY,CAN,IND,GUT,ILO,INA
R^2,0.3807202093397774,0.38487784560315486,0.4311292983873119,0.23646979914242394,0.2732478726525099,0.3023764702090057
p-value,7.073076916861412e-13,4.890750773285302e-13,2.8514325249627455e-14,1.9135519578049978e-07,1.7426585157504937e-08,2.149340087795925e-09
