Stat,IND,TAY,INA,ILO,GUT,CAN
R^2,0.1987919396030546,0.3097354480809054,0.5689795177744693,0.5769711865702152,0.6191119203096501,0.34820258628158723
p-value,1.8742040902125417e-06,2.7363315562788396e-10,5.559459653452365e-20,2.1662371595350494e-20,6.769091126793511e-23,1.1702642531713744e-11
